% this file was created on 13-Jun-2013 18:08:00 
%
% SC:        Cluster 1 
% Intrument: EFW 
% Signal:    P 
% Sensor:    1234 
% Coord Sys: sc 
%
% comment:   this signal is averaged from all probes available at the time 
%
%
% Time from: 27-May-2011 00:00:00 
%
% time        P1234     
% [s]         [V]       
25370.170519   -9.396 
25370.370515   -9.530 
25370.570510   -9.712 
25370.770505   -9.860 
25370.970500   -9.994 
25371.170495  -10.084 
25371.370491  -10.086 
25371.570486   -9.961 
25371.770481   -9.762 
25371.970476   -9.618 
25372.170471   -9.394 
25372.370467   -9.383 
25372.570461   -9.528 
25372.770456   -9.607 
25372.970451   -9.728 
25373.170447   -9.793 
25373.370442   -9.875 
25373.570437   -9.875 
25373.770432   -9.733 
25373.970427   -9.615 
25374.170423   -9.465 
25374.370418   -9.446 
25374.570413   -9.557 
25374.770408   -9.737 
25374.970403   -9.875 
25375.170399  -10.005 
25375.370394  -10.053 
25375.570389  -10.038 
25375.770385   -9.948 
25375.970380   -9.760 
25376.170375   -9.638 
25376.370370   -9.396 
25376.570365   -9.394 
25376.770361   -9.515 
25376.970356   -9.601 
25377.170351   -9.735 
25377.370346   -9.797 
25377.570342   -9.873 
25377.770337   -9.877 
25377.970332   -9.739 
25378.170327   -9.609 
25378.370322   -9.456 
25378.570318   -9.421 
25378.770313   -9.503 
25378.970308   -9.682 
25379.170303   -9.823 
25379.370299   -9.963 
25379.570294  -10.003 
25379.770289   -9.996 
25379.970284   -9.887 
25380.170280   -9.678 
25380.370275   -9.567 
25380.570270   -9.293 
25380.770265   -9.285 
25380.970261   -9.377 
25381.170256   -9.444 
25381.370251   -9.565 
25381.570246   -9.626 
25381.770241   -9.720 
25381.970237   -9.726 
25382.170232   -9.611 
25382.370227   -9.486 
25382.570222   -9.367 
25382.770217   -9.329 
25382.970212   -9.413 
25383.170208   -9.601 
25383.370203   -9.743 
25383.570198   -9.890 
25383.770193  -10.007 
25383.970189   -9.977 
25384.170184   -9.906 
25384.370179   -9.718 
25384.570174   -9.601 
25384.770169   -9.346 
25384.970165   -9.385 
25385.170160   -9.442 
25385.370155   -9.532 
25385.570150   -9.605 
25385.770146   -9.670 
25385.970141   -9.766 
25386.170136   -9.726 
25386.370131   -9.626 
25386.570127   -9.498 
25386.770122   -9.394 
25386.970117   -9.310 
25387.170112   -9.404 
25387.370107   -9.603 
25387.570102   -9.751 
25387.770097   -9.923 
25387.970093   -9.948 
25388.170088   -9.990 
25388.370083   -9.902 
25388.570078   -9.701 
25388.770074   -9.582 
25388.970069   -9.327 
25389.170064   -9.325 
25389.370059   -9.413 
25389.570055   -9.551 
25389.770050   -9.655 
25389.970045   -9.735 
25390.170040   -9.825 
25390.370036   -9.831 
25390.570031   -9.724 
25390.770026   -9.582 
25390.970021   -9.456 
25391.170017   -9.335 
25391.370012   -9.431 
25391.570007   -9.647 
25391.770002   -9.751 
25391.969998   -9.898 
25392.169993   -9.982 
25392.369988   -9.973 
25392.569982   -9.873 
25392.769977   -9.666 
25392.969972   -9.549 
25393.169967   -9.279 
25393.369962   -9.270 
25393.569958   -9.356 
25393.769953   -9.505 
25393.969948   -9.586 
25394.169943   -9.689 
25394.369939   -9.768 
25394.569934   -9.770 
25394.769929   -9.691 
25394.969924   -9.534 
25395.169919   -9.486 
25395.369915   -9.344 
25395.569910   -9.471 
25395.769905   -9.668 
25395.969901   -9.758 
25396.169896   -9.946 
25396.369891  -10.051 
25396.569886  -10.040 
25396.769881  -10.013 
25396.969877   -9.823 
25397.169872   -9.691 
25397.369867   -9.442 
25397.569862   -9.425 
25397.769858   -9.511 
25397.969853   -9.630 
25398.169848   -9.716 
25398.369843   -9.802 
25398.569838   -9.875 
25398.769834   -9.910 
25398.969829   -9.854 
25399.169824   -9.657 
25399.369819   -9.586 
25399.569814   -9.413 
25399.769810   -9.523 
25399.969805   -9.728 
25400.169800   -9.850 
25400.369795  -10.000 
25400.569791  -10.055 
25400.769786  -10.128 
25400.969781  -10.046 
25401.169776   -9.864 
25401.369771   -9.714 
25401.569767   -9.461 
25401.769762   -9.400 
25401.969757   -9.488 
25402.169752   -9.649 
25402.369748   -9.802 
25402.569743   -9.942 
25402.769738  -10.021 
25402.969733  -10.055 
25403.169729   -9.956 
25403.369724   -9.781 
25403.569719   -9.760 
25403.769714   -9.551 
25403.969709   -9.676 
25404.169704   -9.848 
25404.369699   -9.952 
25404.569695  -10.149 
25404.769690  -10.199 
25404.969685  -10.214 
25405.169680  -10.155 
25405.369676   -9.973 
25405.569671   -9.848 
25405.769666   -9.588 
25405.969661   -9.517 
25406.169656   -9.553 
25406.369652   -9.708 
25406.569647   -9.779 
25406.769642   -9.883 
25406.969637   -9.984 
25407.169632  -10.009 
25407.369628   -9.931 
25407.569623   -9.743 
25407.769618   -9.676 
25407.969614   -9.498 
25408.169609   -9.590 
25408.369604   -9.770 
25408.569599   -9.904 
25408.769594  -10.090 
25408.969590  -10.115 
25409.169585  -10.147 
25409.369580  -10.109 
25409.569575   -9.944 
25409.769571   -9.791 
25409.969566   -9.569 
25410.169561   -9.467 
25410.369556   -9.513 
25410.569551   -9.687 
25410.769547   -9.745 
25410.969542   -9.860 
25411.169537   -9.956 
25411.369532  -10.005 
25411.569528   -9.906 
25411.769523   -9.728 
25411.969518   -9.653 
25412.169513   -9.438 
25412.369509   -9.569 
25412.569504   -9.751 
25412.769499   -9.873 
25412.969494  -10.065 
25413.169489  -10.113 
25413.369484  -10.166 
25413.569478  -10.126 
25413.769474   -9.971 
25413.969469   -9.833 
25414.169464   -9.622 
25414.369459   -9.509 
25414.569454   -9.553 
25414.769450 1570000000.000 
25414.969445 1570000000.000 
25415.169440 1570000000.000 
25415.369435 1570000000.000 
25415.569431 1570000000.000 
25415.769426 1570000000.000 
25415.969421 1570000000.000 
25416.169416 1570000000.000 
25416.369411 1570000000.000 
25416.569407 1570000000.000 
25416.769402 1570000000.000 
25416.969398 1570000000.000 
25417.169393 1570000000.000 
25417.369388 1570000000.000 
25417.569383 1570000000.000 
25417.769378 1570000000.000 
25417.969374 1570000000.000 
25418.169369 1570000000.000 
25418.369364 1570000000.000 
25418.569359 1570000000.000 
25418.769354   -9.630 
